id,token_address,chain,provider,security_score,is_honeypot,cannot_sell,is_blacklisted,trading_disabled,is_mintable,is_proxy,owner_renounced,blacklist_function,dangerous_owner_permissions,buy_tax,sell_tax,top_holder_pct,top_10_holder_pct,lp_locked_pct,lp_burned_pct,risk_flags,raw_json,scan_time
2,0x34Ad856501D7566c06FdD8614DB9af3ff351Bd91,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T11:34:07+00:00
4,0x6e6A3b8B8376eA65B92aD3F93Fe046C186e56764,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T11:34:07+00:00
5,0x26Aa6B2C2d9fcD83D42e6e32059743805a0D4aA1,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T11:34:07+00:00
8,0x6e6A3b8B8376eA65B92aD3F93Fe046C186e56764,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T11:58:20+00:00
9,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T12:58:38+00:00
10,0xAB3AF86f7E31A36b3df1848bD92301Df91f63B07,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T12:58:38+00:00
11,0x6e6A3b8B8376eA65B92aD3F93Fe046C186e56764,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T12:58:38+00:00
12,0x3B84CaCB7F66f9Ab9caca4Ac92112E9dB1821E02,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T14:05:11+00:00
14,0xe1A4c41579756da0c981Ccf8C3cc0aab686f7324,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T14:05:11+00:00
15,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T14:05:11+00:00
16,0x3B84CaCB7F66f9Ab9caca4Ac92112E9dB1821E02,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T15:12:09+00:00
17,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T15:12:09+00:00
18,0x072f4B2f239e3e470A496792623adDC08b0fb6b0,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T15:12:09+00:00
19,0x2B66E3046ce3B41414A2B34f56DcA4553AE1d5C5,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T15:12:09+00:00
22,0x1Ce6c8e9c88fe8f365FF420ac83fa120bdC92675,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T16:12:22+00:00
23,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T16:12:22+00:00
24,0x22aaB1803d9B5ED57c4E34090884867F5fdaFbb7,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T17:12:28+00:00
25,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T17:12:28+00:00
26,0xe618cedc81f845883c61D15297073e7463CbA4Af,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T17:12:28+00:00
27,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T19:30:25+00:00
29,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T19:44:40+00:00
30,0xA003FBBefBA3B2aC5Ff1A1dF6e7462970bDe4c06,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T19:44:40+00:00
31,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-07T21:16:07+00:00
35,0x10c56F005a379f8eAfc88ff5c3f40d30F0031AC9,base,goplus,,0,0,0,0,0,0,0,0,0,,,,,,,[],{},2026-05-08T03:55:43+00:00
